Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
124483,-8.322535,1.763573,-4.984427
124563,-9.976034,1.9807,-5.932019
124642,-8.863332,1.265848,-5.865018
124722,-11.555353,1.36129,-7.870275
124802,-11.847288,1.945434,-7.245726
124881,-12.421586,0.437902,-6.968148
124961,-12.45899,0.311078,-5.367293
125041,-8.710185,0.327828,-5.22714
125121,-6.666642,-1.615213,-3.283070
125201,-4.513025,-1.809039,-1.816217
125280,-2.191904,-3.675507,-1.464460
125360,-4.359879,-2.723130,-1.978935
125439,-6.140202,0.966735,-3.874118
125519,-10.21499,1.234741,-4.501060
125599,-10.138752,0.646085,-6.618784
125678,-12.419193,2.459909,-7.133259
125758,-12.400050,1.359172,-7.370157
125837,-13.172959,1.478817,-6.934648
125917,-10.777658,0.708301,-5.896125
125997,-9.45193,0.739409,-5.333792
126077,-7.109330,-1.849718,-4.379022
126157,-4.790602,-2.282834,-2.151224
126236,-2.837989,-1.777931,0.435509
126316,-2.983956,-3.838225,-1.687000
126396,-5.360114,-2.148831,-3.500824
126475,-6.537425,-1.148596,-5.163896
126555,-8.707792,0.780088,-5.881768
126634,-10.595797,1.521890,-4.776245
126714,-11.770715,1.7414,-7.274441
126794,-13.876474,0.81359,-8.83243
126874,-12.493373,0.863840,-7.264869
126954,-11.387850,0.629335,-6.700143
127033,-9.633848,0.457045,-5.539582
127113,-7.571161,-1.636749,-4.575240
127193,-5.56215,-1.933470,-3.249569
127272,-4.390986,-2.682450,-1.38522
127352,0.928448,-3.474503,-1.203633
127431,-4.934176,-2.754237,-1.792288
127511,-6.901147,-1.687000,-2.933705
127591,-8.719757,0.794446,-6.42093
127670,-10.418722,1.100738,-6.666642
127750,-10.674763,1.385494,-7.611841
127830,-14.142087,0.167504,-7.796094
127910,-12.895382,0.708301,-7.535267
127990,-11.887967,0.507297,-6.391458
128069,-9.361056,0.775302,-5.283541
128149,-7.145224,-1.603248,-4.103837
128228,-5.333792,-2.189511,-2.998314
128308,-2.945670,-2.605877,-1.426173
128388,-3.244783,-3.802331,-1.715715
128467,-5.795623,-2.366586,-3.211283
128547,-7.394086,0.971521,-3.685078
128626,-8.329713,0.392437,-5.151931
128706,-10.260790,1.76809,-6.317277
128786,-9.810924,0.813589,-5.482152
128866,-13.354820,1.232348,-6.889183
128946,-11.686963,2.72258,-7.384514
129025,-12.359370,0.38287,-6.654677
129105,-9.935354,0.452260,-5.616155
129185,-9.973641,0.296721,-4.718815
129264,-7.104544,-1.119881,-3.866940
129344,-5.771694,-2.2864,-3.407501
129423,-5.376864,-1.777931,-2.677664
129503,-7.102151,-3.950691,-3.589362
129583,-7.719522,-2.263691,-4.783423
132495,-8.68886,-2.328300,-4.970070
132575,-7.836774,-2.230190,-4.816924
132655,-5.927233,-2.50722,-3.713793
132735,-4.871961,-2.591519,-2.141653
132815,-6.396243,-3.36600,-2.536483
132895,-8.573790,0.897341,-4.446023
132975,-10.459401,-1.50487,-6.300527
133055,-9.497452,1.328064,-5.455831
133135,-9.334735,1.538640,-6.34914
133215,-14.656562,0.327828,-8.707792
133295,-12.955204,0.148360,-7.530482
133375,-11.287348,-1.115095,-6.202418
133455,-9.449594,0.622156,-4.833674
133535,-7.190689,0.772909,-3.921976
133615,-5.82537,-1.718108,-2.498196
133695,-2.878669,-2.620234,-2.167975
133775,-3.558254,-3.390751,-2.148831
133855,-5.297898,-2.148831,-3.259141
133935,-7.487410,-1.26558,-3.91637
134015,-8.805902,-1.385494,-4.778637
134095,-12.182295,1.229955,-5.477366
134175,-11.390243,0.868626,-6.231133
134255,-13.988940,0.624549,-7.260083
134335,-12.397656,0.471403,-6.970541
134415,-11.744393,0.19143,-6.767144
134495,-10.512045,0.600620,-5.597012
134575,-7.449123,0.856661,-4.517810
134655,-4.130159,-2.416837,-2.787738
134735,-4.204340,-2.854739,-1.756395
134815,-2.213440,-3.627649,-1.81594
134895,-5.463009,-2.184725,-2.373765
134975,-7.281620,-1.672643,-3.206497
135055,-8.595325,0.610192,-4.548918
135135,-9.894675,0.897341,-6.525460
135215,-11.782680,1.809039,-5.771694
135295,-11.313669,0.466617,-6.731250
135375,-13.572575,2.120116,-7.671663
135455,-11.33699,0.509689,-7.68651
135535,-11.263418,0.253648,-6.211989
135615,-9.107409,0.959556,-5.470188
135695,-6.149774,-1.311314,-2.960027
135775,-3.711401,-2.593912,-1.974149
135855,-3.132317,-2.656128,-1.576926
135935,-4.228269,-3.409894,0.981092
136015,-6.637927,-1.462067,-3.144281
136095,-8.473288,-1.423780,-4.721208
136175,-10.478544,0.473796,-6.367528
136255,-8.999727,0.301506,-5.642478
136335,-13.15027,1.12200,-7.1649
136415,-13.340463,0.751373,-7.518517
136495,-12.471837,0.581477,-6.745608
136575,-9.880318,0.454653,-5.218933
136655,-8.382357,-1.392673,-4.51193
136735,-6.56450,-2.220619,-2.495803
136815,-3.519968,-2.644163,-1.430959
136895,-3.220854,-3.115566,0.969128
136975,-5.436687,-3.414680,-2.550840
137055,-6.822181,-1.670250,-3.895654
137135,-8.805902,-1.464460,-4.637456
137215,-9.131337,0.224933,-4.606348
137295,-9.566847,1.213204,-5.678371
137375,-11.753964,0.220148,-6.87558
137455,-12.601054,1.335243,-6.867646
137535,-12.471837,0.258434,-6.369921
137615,-10.437865,-1.165346,-5.640084
137695,-10.145930,0.545583,-5.1178
137775,-7.339049,0.696336,-4.716422
137855,-5.477366,-1.639142,-4.942
137935,-5.211754,-2.706379,-3.216069
138015,-6.159346,-2.960027,-2.792524
138095,-7.609448,-2.541268,-4.189982
138175,-8.470895,-2.402480,-4.307235
138255,-7.537661,-2.665700,-4.48800
138335,-8.530717,-2.33972,-4.524989
140548,-10.811159,-1.134238,-5.494117
140628,-8.710185,0.646085,-4.481917
140708,-6.719286,-1.667857,-3.704222
140788,-5.984663,-2.158403,-3.10278
140868,-4.699671,-2.359407,-2.744666
140947,-4.642241,-3.476896,-2.780559
141027,-5.704693,-2.443159,-2.574769
141106,-6.786287,-2.663307,-2.572376
141186,-7.942062,-1.251491,-4.967677
141266,-10.153109,0.349365,-4.723600
141345,-10.378042,0.122038,-5.338578
141425,-11.198,0.457045,-6.489567
141504,-14.541702,0.863840,-7.757808
141584,-12.72222,0.370901,-6.374707
141664,-11.517067,0.662836,-5.367293
141744,-9.322770,-1.165346,-4.426880
141824,-7.949241,-1.275420,-4.364665
141903,-5.915269,-1.897576,-3.340500
141983,-5.970306,-2.416837,-3.46172
142063,-4.173232,-2.742273,-2.340264
142142,-4.721208,-3.304606,-3.273498
142222,-6.561354,-2.213440,-3.929155
142301,-6.817395,-2.335478,-3.618077
142381,-8.655149,-1.177311,-4.991606
142461,-9.447201,0.330221,-5.345757
142541,-10.935590,0.478582,-5.34678
142621,-10.672370,0.279970,-6.262240
142700,-12.689591,0.904519,-7.169153
142780,-12.117686,0.43072,-6.623569
142860,-10.370864,0.124431,-5.561119
142939,-9.255769,0.205790,-5.228504
143019,-7.382122,-1.512318,-4.347914
143098,-6.824574,-1.880826,-4.309628
143178,-6.27736,-2.471874,-3.610898
143258,-4.790602,-2.598698,-2.957634
143337,-5.106466,-3.505610,-3.350071
143417,-6.566140,-2.345050,-3.766437
143497,-6.834146,-2.354622,-3.821474
143577,-7.611841,-1.239526,-3.919584
143657,-10.14320,0.368508,-4.730779
143736,-9.703242,0.303899,-5.340971
143816,-10.765694,0.509689,-5.778873
143895,-8.152637,0.399616,-6.188060
143975,-13.29385,0.689158,-6.460852
144055,-11.150951,0.74180,-5.355328
144134,-10.679549,0.926055,-5.558725
144214,-9.588383,-1.98345,-4.364665
144293,-9.160052,-1.507532,-4.522596
144373,-6.448887,-1.816217,-3.352464
144453,-6.15771,-2.385729,-2.768595
144533,-3.912405,-2.644163,-2.258905
144613,-5.336185,-4.319199,-2.610663
144692,-7.300763,-3.163424,-2.933705
144772,-6.728858,-1.505139,-3.345285
144852,-7.595090,-1.459674,-4.151696
144931,-7.628591,0.244077,-3.778402
145011,-12.742235,-1.2628,-5.879375
145090,-12.167937,0.325435,-6.707321
145170,-12.189474,0.772909,-6.683393
145250,-12.756593,0.624549,-5.953555
145330,-11.356742,0.686765,-5.113645
145410,-9.408915,-1.457281,-4.577633
145489,-7.178724,-1.519497,-3.622863
145569,-6.764751,-1.612820,-2.342657
145649,-6.597248,-2.550840,-2.849954
145728,-6.781502,-2.290013,-3.151460
145808,-7.855917,-2.601091,-4.280912
145887,-7.542446,-2.696807,-4.218697
145967,-8.726935,-1.811431,-4.48800
146047,-8.64100,-1.514711,-3.737722
146126,-8.667113,-1.462067,-4.144517
